provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
GR,2020-01-21,0,0,3,0
GR,2020-01-22,0,0,3,0
GR,2020-01-23,0,0,3,0
GR,2020-01-24,0,0,3,0
GR,2020-01-25,0,0,3,0
GR,2020-01-26,0,0,3,0
GR,2020-01-27,0,0,4,0
GR,2020-01-28,0,0,5,0
GR,2020-01-29,0,0,6,0
GR,2020-01-30,0,0,6,0
GR,2020-01-31,0,0,6,0
GR,2020-02-01,0,0,6,1
GR,2020-02-02,0,0,6,1
GR,2020-02-03,0,0,6,1
GR,2020-02-04,0,0,6,1
GR,2020-02-05,0,0,6,1
GR,2020-02-06,0,0,6,1
GR,2020-02-07,0,0,6,1
GR,2020-02-08,0,0,6,1
GR,2020-02-09,0,0,6,1
GR,2020-02-10,0,0,6,1
GR,2020-02-11,0,0,6,1
GR,2020-02-12,0,0,6,1
GR,2020-02-13,0,0,7,1
GR,2020-02-14,0,0,7,1
GR,2020-02-15,0,0,8,1
GR,2020-02-16,0,0,8,1
GR,2020-02-17,0,0,8,1
GR,2020-02-18,0,0,8,1
GR,2020-02-19,0,0,8,1
GR,2020-02-20,0,0,8,1
GR,2020-02-21,0,0,8,1
GR,2020-02-22,0,0,8,1
GR,2020-02-23,0,0,8,1
GR,2020-02-24,0,0,8,1
GR,2020-02-25,0,0,10,1
GR,2020-02-26,0,0,11,1
GR,2020-02-27,0,0,11,1
GR,2020-02-28,0,0,11,1
GR,2020-02-29,0,0,11,1
GR,2020-03-01,0,0,11,2
GR,2020-03-02,0,0,12,2
GR,2020-03-03,0,0,12,2
GR,2020-03-04,0,0,14,2
GR,2020-03-05,0,0,14,2
GR,2020-03-06,0,0,16,2
GR,2020-03-07,0,0,18,3
GR,2020-03-08,0,0,20,3
GR,2020-03-09,1,0,23,3
GR,2020-03-10,1,0,25,3
GR,2020-03-11,6,0,27,3
GR,2020-03-12,14,0,33,5
GR,2020-03-13,40,0,42,6
GR,2020-03-14,62,0,52,6
GR,2020-03-15,80,0,60,7
GR,2020-03-16,103,3,76,12
GR,2020-03-17,156,6,85,16
GR,2020-03-18,209,7,106,18
GR,2020-03-19,284,12,138,22
GR,2020-03-20,360,15,177,26
GR,2020-03-21,429,17,217,30
GR,2020-03-22,499,22,252,42
GR,2020-03-23,613,25,315,47
GR,2020-03-24,717,33,381,51
GR,2020-03-25,810,44,457,53
GR,2020-03-26,940,55,516,67
GR,2020-03-27,1067,64,599,71
GR,2020-03-28,1207,73,653,77
GR,2020-03-29,1257,78,685,79
GR,2020-03-30,1350,87,730,86
GR,2020-03-31,1429,96,785,91
GR,2020-04-01,1535,107,828,96
GR,2020-04-02,1662,118,869,101
GR,2020-04-03,1723,128,901,103
GR,2020-04-04,1801,137,915,108
GR,2020-04-05,1829,142,929,110
GR,2020-04-06,1861,148,954,116
GR,2020-04-07,1914,156,983,118
GR,2020-04-08,1982,168,1003,118
GR,2020-04-09,2008,173,1019,119
GR,2020-04-10,2037,185,1036,119
GR,2020-04-11,2070,190,1049,119
GR,2020-04-12,2093,195,1068,122
GR,2020-04-13,2121,197,1085,125
GR,2020-04-14,2155,208,1098,125
GR,2020-04-15,2166,210,1102,125
GR,2020-04-16,2191,216,1111,126
GR,2020-04-17,2235,223,1125,127
GR,2020-04-18,2251,228,1131,127
GR,2020-04-19,2265,233,1137,127
GR,2020-04-20,2294,239,1143,128
GR,2020-04-21,2325,240,1154,129
GR,2020-04-22,2340,243,1160,130
GR,2020-04-23,2358,247,1162,130
GR,2020-04-24,2375,249,1169,130
GR,2020-04-25,2386,252,1173,132
GR,2020-04-26,2387,255,1174,132
GR,2020-04-27,2399,258,1176,133
GR,2020-04-28,2407,259,1178,134
GR,2020-04-29,2418,261,1182,134
GR,2020-04-30,2438,262,1184,134
GR,2020-05-01,2443,264,1185,134
GR,2020-05-02,2447,265,1185,134
GR,2020-05-03,2450,267,1189,134
GR,2020-05-04,2458,270,1189,134
GR,2020-05-05,2461,272,1191,134
GR,2020-05-06,2469,272,1193,134
GR,2020-05-07,2472,272,1194,134
GR,2020-05-08,2476,272,1195,134
GR,2020-05-09,2480,272,1197,134
GR,2020-05-10,2481,272,1197,134
GR,2020-05-11,2485,273,1198,134
GR,2020-05-12,2489,274,1198,134
GR,2020-05-13,2493,278,1198,134
GR,2020-05-14,2495,278,1198,134
GR,2020-05-15,2500,278,1199,134
GR,2020-05-16,2501,278,1199,134
GR,2020-05-17,2502,278,1199,134
GR,2020-05-18,2503,280,1199,134
GR,2020-05-19,2506,281,1200,134
GR,2020-05-20,2508,281,1200,134
GR,2020-05-21,2513,281,1202,134
GR,2020-05-22,2515,281,1203,134
GR,2020-05-23,2517,281,1204,134
GR,2020-05-24,2517,283,1205,134
GR,2020-05-25,2517,283,1205,134
GR,2020-05-26,2517,283,1205,134
GR,2020-05-27,2519,283,1205,134
GR,2020-05-28,2522,283,1205,134
GR,2020-05-29,2523,283,1205,134
GR,2020-05-30,2524,283,1205,134
GR,2020-05-31,2524,283,1206,134
GR,2020-06-01,2525,283,1206,134
GR,2020-06-02,2525,283,1206,134
GR,2020-06-03,2529,284,1206,134
GR,2020-06-04,2530,284,1207,134
GR,2020-06-05,2532,284,1207,135
GR,2020-06-06,2532,284,1207,135
GR,2020-06-07,2533,284,1207,135
GR,2020-06-08,2533,284,1207,135
GR,2020-06-09,2534,284,1207,135
GR,2020-06-10,2534,286,1207,135
GR,2020-06-11,2535,286,1207,135
GR,2020-06-12,2535,286,1207,135
GR,2020-06-13,2535,286,1207,135
GR,2020-06-14,2535,286,1207,135
GR,2020-06-15,2536,286,1207,135
GR,2020-06-16,2536,286,1207,135
GR,2020-06-17,2539,286,1207,135
GR,2020-06-18,2545,286,1207,135
GR,2020-06-19,2549,286,1208,135
GR,2020-06-20,2559,286,1209,135
GR,2020-06-21,2560,286,1211,135
GR,2020-06-22,2560,286,1211,136
GR,2020-06-23,2568,286,1211,136
GR,2020-06-24,2579,286,1211,137
GR,2020-06-25,2585,286,1212,137
GR,2020-06-26,2595,286,1214,137
